Unnamed: 0,Titel,Artikel,Datum
2077,Man (62) overlijdt na ongeval op N318 in Aalten | Aalten | gelderlander.nl,"
									AALTEN -Ã‚Â  Op de Varsseveldsestraatweg, ter hoogte van De Witte Smid, heeft een dodelijk ongeval plaatsgevonden. De bestuurder reed frontaal tegen een boom en was op slag dood.Ã‚Â  Het gaat om een 62-jarige man uit Aalten.Ã‚Â  De politie en brandweer waren na het ongeval aanwezig. De gealarmeerde traumahelikoper werd onderweg afgemeld. De straat werd voor 200 meter afgezet. De man is volgens de politie vermoedelijk onwel geworden waardoor hij tegen een boom is gereden. Er waren geen remsporen aanwezig.",09/41/????
2078,"Jongetje (7) overleden bij ongeval op A325 bij Ressen, gezinsleden gewond | Betuwe | gelderlander.nl","Jongetje (7) overleden bij ongeval op A325 bij Ressen, gezinsleden gewond BEMMEL - Een kind van 7 jaar is zaterdagavond om het leven gekomen bij eenÃ‚Â ernstig ongeluk op de A325 tussen Arnhem en Nijmegen. De personenauto waarin hij met zijn vader, moeder en een ouder broertje zat, raakte daar rond 22.15 uur van de weg en kwam tegen enkele bomen tot stilstand. De tekst gaat onder de foto verder De situatie op de A325 kort na het ongeluk. Dat gebeurde in de richting Arnhem ter hoogte van het knooppunt Ressen. De andere drie gezinsleden zijn gewond geraakt en naar het ziekenhuis gebracht. Het gezin is volgens een woordvoerder van de politie afkomstig uit Bemmel. De auto is door nog onbekende oorzaak van de weg geraakt en op de kop in een sloot beland. Ook zijn enkele bomen geraakt.Ã‚Â Hulpdiensten rukten massaal uit, ook een mobiel medisch team per traumahelikopter kwam ter plaatse. De verbindingswegen richting de A15 waren enige tijd dicht.Ã‚Â Ã‚Â  Burgemeester Marianne Schuurmans van de gemeente Lingewaard, waar Bemmel onder valt, laat via Twitter weten 'intens' mee te leven met het gezin en ieder ander die wordt geraakt door het ongeval. 'Onvoorstelbaar leed voor ouders en broer, niet te bevatten', schrijft ze. 'We moeten elkaar opzoeken om dit te verwerken, samen met elkaar.' Download De Gelderlander nieuwsapp!",06/12/18
2079,Meisje van 15 komt om door auto-ongeval in Limburg | Binnenland | AD.nl,"Meisje van 15 komt om door auto-ongeval in Limburg Door een verkeersongeval in het Limburgse Echt is in de nacht van vrijdag op zaterdag een meisje van vijftien uit Maasbracht om het leven gekomen. Een veertienjarig meisje uit Echt liep bij het ongeluk ernstige verwondingen op. De twee meisjes zaten in een auto die werd bestuurd door een 29-jarige man uit Echt. Het vijftienjarige slachtoffer zat op de achterbank toen het voertuig op de Breulderweg door nog onbekende oorzaak van de weg raakte en tegen een boom botste. Volgens de politie had de bestuurder niet gedronken. Hij is na het ongeval voor onderzoek naar het ziekenhuis gebracht. Samen met nog een vijftienjarig meisje uit Echt, dat ook in de auto zat.",11/35/????
2080,Motorrijder komt om bij ongeval | Blik op nieuws,"Motorrijder komt om bij ongeval Zondagochtend rond 10:15 uur heeft een eenzijdig verkeersongeval plaatsgevonden op de Bestseweg. Een 40-jarige motorrijder uit Schijndel is hierbij om het leven gekomen. 
    De man kwam vanaf Sint-Oedenrode en reed in de richting van Best, toen hij door nog onbekende reden een boom raakte. Het slachtoffer is ter plekke overleden aan zijn verwondingen. De politie voert onderzoek uit naar de oorzaak van het ongeval.  ",19/4/2009
2081,"Vrachtwagenwiel valt van A2 op auto in Den Bosch: vrouw (73) overleden, chauffeur (29) aangehouden - Omroep Brabant","

				Politiewoordvoerder Rick Ebli over het bizarre ongeluk in Den Bosch

			 

						Bij een bizar verkeersongeluk op de Poeldonkweg in Den Bosch is donderdagochtend een automobiliste omgekomen. Dat gebeurde nadat een vrachtwagen op de bovengelegen A2 een linkerwiel verloor. Het wiel rolde vervolgens van het viaduct van de snelweg en kwam met behoorlijke kracht op het dak van de auto terecht.

					 

						De automobiliste, een 73-jarige vrouw uit Schijndel, kwam na de klap tot stilstand tegen een betonnen pilaar op de Poeldonkweg, vlakbij de Zuid-Willemsvaart. Van de auto bleef na het ongeluk vrijwel niets over. Chauffeur gearresteerd De vrachtwagenchauffeur, een 29-jarige man uit het Gelderse IJzendoorn, is voor 'mogelijke verwijtbaarheid' bij een dodelijk ongeluk aangehouden. Dat gebeurde even verderop op de A59 ter hoogte van de Berlicumseweg. Hij is meegenomen naar het politiebureau voor verhoor. Specialisten van de Verkeersongevallenanalyse (VOA) onderzoeken hoe het ongeluk heeft kunnen gebeuren.  Een traumahelikopter en meerdere ambulances en brandweerwagens werden onmiddellijk na het ongeluk opgeroepen, maar hulp mocht niet meer baten: de bestuurster van de auto overleed ter plekke aan haar verwondingen. De Poeldonkweg, die kruist met de A2, was in beide richtingen afgesloten voor verkeer. De vrachtauto is in beslag genomen voor verder onderzoek.",12/5/2016
2082,Man (24) overleden na verkeersongeval | politie.nl,"Den Haag - De fietser die op vrijdag 3 februari rond 4:30 uur ernstig gewond raakte bij een verkeersongeval aan de Vaillantlaan is aan zijn verwondingen overleden. Het gaat om een 24-jarige man uit Den Haag. Politieagenten ontvingen omstreeks 4:35 uur een melding dat er een verkeersongeval had plaatsgevonden op de Vaillantlaan ter hoogte van de Parallelweg. Een fietser kwam in botsing met een vrachtauto. De 24-jarige Hagenaar werd met ernstige verwonden per ambulance vervoerd naar het ziekenhuis. Agenten verhoordenÃ‚Â de bestuurder van de vrachtwagen, een 54-jarige man.Ã‚Â Het team van de Verkeersongevallen Analyse doetÃ‚Â onderzoek naarÃ‚Â de toedracht van het ongeval.Ã‚Â ",07/02/2017
2083,Dode bij verkeersongeluk Nieuwlande - RTV Drenthe,"

						Bij een eenzijdig verkeersongeval in Nieuwlande is vanmorgen een 35- jarige automobilist uit Elim om het leven gekomen.

					 

						De personenauto botste rond half zes tegen een boom aan de Steigerwijk en kwam in een sloot tot stilstand. Hulpverleners konden volgens de politie niets meer betekenen. De man is ter plekke overleden.

					",17/12/2016
2084,Newspower Ã¢â‚¬â€œ Het laatste nieuws online,"

                        Ruinerwold - Twee fietsers zijn zondagmiddag gewond geraakt na een botsing met een auto op de  

                        Ter-Apelkanaal - Op de Boswijklaan tussen Ter Apelkanaal en Musselkanaal is vanochtend een auto tegen een  

                        Beerta - De A7 tussen Winschoten en Oudeschans richting Duitsland is donderdagmorgen enige tijd afgesloten geweest  

                        Pesse Ã¢â‚¬â€œ Bij een ongeval op de A28 tussen Pesse en Spier is zondagavond een personenauto  

                        Emmen - Een automobilist is zondagochtend in de Oosterstraat in Emmen met een Mini Cooper hard  

                        Musselkanaal - Een motor is zaterdagavond over de kop geslagen in Musselkanaal. Volgens omstanders is de  

                        Den Dolder - De politie zoekt een 43-jarige man, die verbleef op een forensich psychiatrische afdeling  

                        Waalwijk - Een burenruzie over geluidsoverlast is dinsdagavond uitgelopen op een bedreiging met een hakbijl. Een  

                        Brunssum - Ã¢â‚¬ËœWie is er verantwoordelijk voor de dood van Sjef Klee?Ã¢â‚¬â„¢ Die vraag houdt niet  Nieuwswaardige of gewoon een mooie foto? Mail die dan naar: info@newspower.nl De mooiste (niet bewerkte) fotoÃ¢â‚¬â„¢s plaatsen we op onze website of Facebook!",5/6/2019
2085,Vijfjarig meisje omgekomen na ongeval | Blik op nieuws,"Vijfjarig meisje omgekomen na ongeval Op de Lekdijk-West in Bergambacht is zaterdagmiddag 22 augustus om circa 12.30 uur een meisje van 5 jaar geschept door een auto en zaterdagavond in het ziekenhuis aan haar verwondingen bezweken. 
    Het slachtoffer, afkomstig uit Bergambacht, rende zaterdagmiddag plotseling de weg op. Ze werd geschept door de auto van een 29-jarige bestuurster uit Zoetermeer, die haar niet kon ontwijken. Een getuige die achter de auto van de 29-jarige bestuurster reed, heeft direct eerste hulp verleend op het slachtoffer.  
Door de ambulance is het slachtoffer met hoofdletsel overgebracht naar het Erasmus ziekenhuis in Rotterdam. Daar is zij in de loop van de avond bezweken aan haar verwondingen.  
De politie heeft op de Lekdijk-West een verkeersonderzoek uitgevoerd, waardoor de weg enige tijd afgesloten is geweest. Het onderzoek naar de precieze toedracht van het ongeval wordt voortgezet.  ",24/8/2008
2086,Motorrijder verongelukt na klap tegen paaltje vangrail in Amsterdam | Blik op nieuws,"Motorrijder verongelukt na klap tegen paaltje vangrail in Amsterdam Zaterdagavond is een 44-jarige motorrijder verongelukt op de verbindingsweg tussen de A1 en de A10 in Amsterdam. Het slachtoffer kwam in aanraking met een tweede motor, hij ging daardoor onderuit en schoof onder de vangrail door. 
    Zijn helm is daarbij vermoedelijk afgegaan en hij raakte een paaltje onder de vangrail. Achterop de tweede motor, zat een zwangere vrouw. Twee andere motorrijders, medisch studenten, zijn met reanimatie van de eerste motorrijder begonnen. Dit werd later door ambulancepersoneel overgenomen. De motorrijder is naar een ziekenhuis overgebracht en daar overleden. De zwangere passagier van de tweede motor is ter observatie naar een ziekenhuis overgebracht. 
De verbindingsweg is ruim twee uur afgesloten geweest. De aanrijding wordt nader door de politie onderzocht.  ",30/6/2012
2087,Jongen (6) dood na tragische rit met bakfiets | Binnenland | Telegraaf.nl,"20 okt. 2014 in BINNENLAND Een 6-jarige jongen uit Erp is maandag overleden nadat hij met een bakfiets in de Zuid-Willemsvaart bij de Brabantse plaats Keldonk was geraakt. De bakfiets werd bestuurd door een 64-jarige man uit Erp, die als oppas het 6-jarige jongetje en zijn 3-jarige zusje vervoerde. De man en de jongen moesten gereanimeerd worden. Ze werden naar het ziekenhuis gebracht. Over de toestand van de man is niet meer bekend. Het meisje werd snel en ongedeerd uit het water gehaald en uit voorzorg naar het ziekenhuis gebracht. Over de oorzaak van het ongeval kon de politie nog niets zeggen. 20 okt. 2014 in BINNENLAND",20/10/2014
2088,Slachtoffer ongeval Leunen is 28-jarige Venraynaar | 1Limburg | Nieuws en sport uit Limburg,"Slachtoffer ongeval Leunen is 28-jarige Venraynaar | 1Limburg | Nieuws en sport uit Limburg Slachtoffer ongeval Leunen is 28-jarige Venraynaar Het slachtoffer van het dodelijk ongeval op de Horsterweg in Leunen is een 28-jarige man uit Venray. Het ongeval gebeurde rond 00:40 uur. De man botste met zijn auto tegen een boom. Een ambulance kwam nog ter plaatse, maar de hulp mocht niet meer baten. Het slachtoffer overleed ter plekke aan zijn verwondingen. De toedracht van het ongeval is nog niet bekend.",?/?/????
2089,Zingende Padd'n jubileren met gratis concert | Heerde | destentor.nl,"Zingende Padd'n jubileren met gratis concert 
									WAPENVELD - Piratenkoor De Zingende Padd'n uit Wapenveld bestaat tien jaar en viert dat zaterdag met een gratis concert in tennishal 't Olde Veld. Het concert is speciaal bedoeld voor ouderen en gehandicapten uit Wapenveld, Hattem en Heerde. Zorginstellingen Philadelphia, Groot Stokkert, de Wendhorst, Blommestein en de Zonnebloem in deze plaatsen zijn op de hoogte gesteld.  Ook andere belangstellenden mogen komen kijken en luisteren. Vrijkaarten zijn af te halen bij de Primera-vestigingen in eerdergenoemde plaatsen. En zaterdag aan de zaal, mochten er nog kaarten over zijn.  De Zingende Padd'n zullen putten uit het bekende repertoire van Nederlandse shanty's (zeemansliederen) en andere liedjes van vroeger. Las Paljas uit Zwolle zal medewerking verlenen aan het concert, dat om 14.30 uur begint. ",15/03/17
2090,Man overleden na ernstig ongeval Sluiskil - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland,"Man overleden na ernstig ongeval Sluiskil - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland Man overleden na ernstig ongeval Sluiskil Op de Hoofdweg, op het fietspad onder de brug, vond vrijdag om 16.10 uur een eenzijdig ongeval plaats. Het slachtoffer is in het ziekenhuis overleden. Een 85-jarige snorfietser uit Sas van Gent kwam vanaf de richting van de brug van Sluiskil, reed op het fietspad over een tijdelijk aangelegde metalen verkeersdrempel en werd als het ware gelanceerd.  Hij kwam verderop ten val en werd daar aangetroffen door passanten; er zijn geen getuigen van het ongeval. De man liep hoofdletsel op.  De traumaheli kwam ter plaatse en heeft de snorfietser naar een ziekenhuis in Gent vervoerd. Daar overleed hij 's avonds aan zijn verwondingen. Zijn snorfiets raakte lichtbeschadigd. ",?/?/????
2091,Dode en gewonde bij ongeluk Nieuw-Beijerland - RTV Rijnmond,"

						Bij een ongeval in Nieuw-Beijerland zijn vrijdagavond een dode en een zwaargewonde gevallen. Hun auto vloog volgens de politie op de Spuidijk uit de bocht, klapte over een sloot en kwam tegen een elektriciteitshuisje tot stilstand.

					 

						De traumahelikopter vloog uit om medische spoedhulp aan de slachtoffers te verlenen. Ook brandweer en politie kwamen ter plaatse. De zwaargewonde man is 39 jaar oud. Hij is met spoed naar het ziekenhuis gebracht. Zijn overleden dorpsgenoot was 29. Beiden komen uit Nieuw-Beijerland. In verband met sporenonderzoek werden de Spuidijk en een deel van de N217 enige tijd afgesloten. Hoe het ongeval kon gebeuren is niet bekend.",12/6/2015
2092,Dode en gewonde bij botsing Zuidland - RTV Rijnmond,"

						Bij een ongeluk in Zuidland is maandagavond een vrouw om het leven gekomen.Ã‚Â Op de kruising van de Dwarsweg met de Langeweg in Zuidland zijn twee auto's op elkaar gebotst.

					 Ãƒâ€°ÃƒÂ©n van de twee auto's belandde daarna in het water. Hulpdiensten hebben geprobeerd deze inzittende te reanimeren, maar hulp mocht niet meer baten. De bestuurder van de andere auto, een man, is gewond geraakt en naar het ziekenhuis gebracht.",14/1/2019
2093,Dode bij verkeersongeval | Blik op nieuws,"Dode bij verkeersongeval Een 21-jarige automobilist uit Schaijk is zondagmorgen overleden in het ziekenhuis nadat hij zaterdagavond rond 18.30 uur op de Louwstraat door nog onbekende reden van de weg raakte en tegen een boom botste. Zijn bijrijdster, een 17-jarig meisje uit Tiel, bleef daarbij ongedeerd. De zwaargewonde automobilist werd met een traumaheli naar het ziekenhuis in Nijmegen overgebracht waar hij later alsnog is bezweken aan zijn verwondingen. De politie doet onderzoek naar de toedracht van het ongeval.",03/07/2014
2094,"Motorrijder overleden in Nieuw-Schoonebeek -
Archief
-
DVHN.nl",Een 42-jarige motorrijder uit Klazienaveen is zondagavond overleden na een aanrijding op de Europaweg in Nieuw Schoonebeek. Een 19-jarige automobilist uit Klazienaveen reed op de Europaweg en wilde linksaf slaan. Hij zag de motorrijder over het hoofd. De motor botste hierdoor vol op de zijkant van de auto. De zwaargewonde motorrijder werd met de traumahelikopter overgebracht naar het ziekenhuis maar dit mocht niet meer baten. Hij is in de loop van de nacht overleden aan zijn verwondingen.,?/?/????
2095,Automobilist overleden bij eenzijdig ongeval - Omroep Gelderland,"

						Bij een eenzijdig ongeval op de Oude Winterswijkseweg in Vragender is dinsdagmorgen een automobilist om het leven gekomen.

					 Het slachtoffer is ter plaatse overleden aan zijn verwondingen. De politie meldt dat het slachtoffer een 21-jarige man uitÃ‚Â Winterswijk is. De auto is door onbekende oorzaak tegen een boom gebotst. De Verkeersongevallendienst doet ter plaatseÃ‚Â onderzoek naar de oorzaak van het ongeval. De weg is afgesloten.Ã‚Â  De traumahelikopter werd rond 5.30 uur opgeroepen, maar hoefde uiteindelijk niet ter plaatse te komen.",31/1/2017
